-0.887,99.9,4.821,2013-06-02 09:40
-0.814,99.9,4.144,2013-06-02 09:50
-0.65,99.9,3.77,2013-06-02 10:00
-0.671,99.9,3.413,2013-06-02 10:10
-0.613,99.8,3.532,2013-06-02 10:20
-0.68,99.9,5.943,2013-06-02 10:30
-0.598,99.8,5.38,2013-06-02 10:40
-0.681,99.8,5.984,2013-06-02 10:50
-0.55,99.9,5.884,2013-06-02 11:00
-0.392,99.8,4.748,2013-06-02 11:10
-0.321,99.8,4.426,2013-06-02 11:20
-0.534,99.8,5.527,2013-06-02 11:30
-0.575,99.9,5.124,2013-06-02 11:40
-0.607,99.9,5.333,2013-06-02 11:50
-0.431,99.9,4.363,2013-06-02 12:00
-0.25,99.9,4.75,2013-06-02 12:10
-0.592,99.9,4.273,2013-06-02 12:20
-0.534,99.9,4.138,2013-06-02 12:30
-0.429,99.9,4.592,2013-06-02 12:40
-0.437,99.9,4.355,2013-06-02 12:50
-0.518,99.9,4.69,2013-06-02 13:00
-0.51,99.9,4.382,2013-06-02 13:10
-0.291,99.9,4.394,2013-06-02 13:20
-0.138,99.9,3.999,2013-06-02 13:30
-0.18,99.9,4.275,2013-06-02 13:40
-0.312,99.9,4.658,2013-06-02 13:50
-0.272,99.9,4.463,2013-06-02 14:00
-0.235,99.9,3.903,2013-06-02 14:10
0.136,99.9,3.436,2013-06-02 14:20
0.34,99.9,2.716,2013-06-02 14:30
0.169,99.9,4.072,2013-06-02 14:40
0.293,99.9,3.383,2013-06-02 14:50
0.543,99.9,3.454,2013-06-02 15:00
0.463,99.9,3.215,2013-06-02 15:10
0.857,99.9,2.572,2013-06-02 15:20
0.486,99.9,3.477,2013-06-02 15:30
0.617,99.9,2.548,2013-06-02 15:40
0.344,99.9,3.561,2013-06-02 15:50
0.256,99.9,2.933,2013-06-02 16:00
0.131,99.9,2.443,2013-06-02 16:10
0.128,99.9,2.665,2013-06-02 16:20
0.074,99.9,2.689,2013-06-02 16:30
0.527,99.9,1.989,2013-06-02 16:40
0.227,99.9,3.373,2013-06-02 16:50
-0.19,99.9,3.135,2013-06-02 17:00
-0.37,99.9,3.01,2013-06-02 17:10
-0.532,99.9,2.542,2013-06-02 17:20
-0.668,99.9,3.033,2013-06-02 17:30
-0.652,99.8,3.004,2013-06-02 17:40
-0.701,99.9,2.448,2013-06-02 17:50
-0.925,99.8,2.851,2013-06-02 18:00
-0.982,99.8,2.974,2013-06-02 18:10
-1.088,99.9,3.942,2013-06-02 18:20
-1.175,99.8,3.792,2013-06-02 18:30
-1.148,99.8,2.665,2013-06-02 18:40
-1.185,99.9,2.652,2013-06-02 18:50
-1.201,99.8,2.476,2013-06-02 19:00
-1.362,99.8,2.525,2013-06-02 19:10
-1.49,99.9,3.463,2013-06-02 19:20
-1.646,99.9,3.514,2013-06-02 19:30
-1.714,99.9,3.587,2013-06-02 19:40
-1.747,99.9,4.193,2013-06-02 19:50
-1.749,99.9,4.553,2013-06-02 20:00
-1.732,99.8,4.148,2013-06-02 20:10
-1.752,99.8,5.517,2013-06-02 20:20
-1.732,99.8,4.308,2013-06-02 20:30
-1.704,99.8,3.741,2013-06-02 20:40
-1.706,99.8,4.707,2013-06-02 20:50
-1.678,99.8,4.881,2013-06-02 21:00
-1.654,99.8,4.729,2013-06-02 21:10
-1.697,99.8,4.171,2013-06-02 21:20
-1.717,99.8,3.937,2013-06-02 21:30
-1.686,99.8,3.678,2013-06-02 21:40
-1.67,99.8,4.216,2013-06-02 21:50
-1.672,99.8,4.574,2013-06-02 22:00
-1.687,99.8,5.167,2013-06-02 22:10
-1.678,99.8,3.665,2013-06-02 22:20
-1.692,99.8,4.257,2013-06-02 22:30
-1.665,99.8,4.453,2013-06-02 22:40
-1.714,99.8,4.682,2013-06-02 22:50
-1.768,99.8,4.279,2013-06-02 23:00
-1.833,99.8,3.188,2013-06-02 23:10
-1.895,99.8,3.051,2013-06-02 23:20
-2.055,99.8,6.158,2013-06-02 23:30
-2.23,99.8,5.362,2013-06-02 23:40
-2.366,99.8,4.363,2013-06-02 23:50
-2.574,99.8,4.163,2013-06-03 00:00
-2.746,99.9,4.674,2013-06-03 00:10
-2.833,99.8,4.686,2013-06-03 00:20
-2.946,99.8,4.727,2013-06-03 00:30
-3.075,99.8,4.162,2013-06-03 00:40
-3.13,99.8,2.73,2013-06-03 00:50
-3.189,99.8,2.335,2013-06-03 01:00
-3.228,99.8,2.744,2013-06-03 01:10
-3.261,99.8,3.002,2013-06-03 01:20
-3.285,99.8,1.314,2013-06-03 01:30
-3.312,99.8,1.694,2013-06-03 01:40
-3.353,99.8,3.25,2013-06-03 01:50
-3.408,99.8,3.6,2013-06-03 02:00
-3.429,99.8,3.113,2013-06-03 02:10
-3.483,99.8,2.949,2013-06-03 02:20
-3.588,99.8,3.023,2013-06-03 02:30
-3.657,99.8,2.798,2013-06-03 02:40
-3.674,99.8,2.48,2013-06-03 02:50
-3.695,99.8,1.752,2013-06-03 03:00
-3.734,99.8,1.04,2013-06-03 03:10
-3.793,99.8,1.156,2013-06-03 03:20
-3.863,99.8,0.305,2013-06-03 03:30
-3.905,99.8,0.0,2013-06-03 03:40
-3.965,99.8,0.0,2013-06-03 03:50
-4.021,99.8,0.0,2013-06-03 04:00
-4.075,99.8,0.0,2013-06-03 04:10
-4.135,99.8,0.0,2013-06-03 04:20
-4.141,99.8,0.0,2013-06-03 04:30
-4.094,99.8,0.0,2013-06-03 04:40
-4.052,99.8,0.0,2013-06-03 04:50
-4.006,99.8,0.0,2013-06-03 05:00
-3.933,99.8,0.0,2013-06-03 05:10
-3.896,99.8,0.0,2013-06-03 05:20
